	SARS004_mock_3	SARS004_mock_2	SARS004_mock_1	SARS004_CoV2_3	SARS004_CoV2_2	SARS004_CoV2_1	CoV002-mock3-indexG3	CoV002-mock2-indexG2	CoV002-mock1-indexG1	CoV002-CoV2-3-indexG6	CoV002-CoV2-2-indexG5	CoV002-CoV2-1-indexG4	svRNA184-mock-3-indexF3	svRNA184-mock-1-indexF1	svRNA184-RSV-3-indexH9	svRNA184-RSV-1-indexF4	3_9_mock1_13	3_9_mock2_14	3_9_wt1_15	3_9_wt2_16
AOX1	348	285	480	251	294	877	74	42	30	148	132	100	41	35	16	12	8	24	30	16
AOX2P	3	1	3	1	3	21	0	0	0	0	0	0	0	0	0	0	0	0	2	0
LOC100507140	22	10	28	10	9	39	0	0	0	0	0	0	0	0	0	0	0	0	2	0
BZW1	4059	3375	6157	3223	3608	10635	5691	2872	1979	10033	5997	4585	1947	2131	620	323	945	2043	2649	621
CLK1	799	624	1060	603	664	1637	1077	535	340	1562	944	699	548	632	189	82	230	643	1151	163
PPIL3	230	222	410	213	211	501	341	168	122	569	336	280	260	387	124	46	75	208	408	65
NIF3L1	293	318	433	300	263	696	1004	491	429	1376	1047	783	583	664	219	99	169	456	480	98
ORC2	476	450	832	371	407	1197	846	475	341	1521	978	800	639	663	242	113	206	489	672	117
FAM126B	217	181	381	146	180	478	151	73	53	225	117	78	78	89	22	13	43	93	105	18
NDUFB3	1127	825	1503	648	828	2778	1321	739	539	2153	1636	1033	1818	1200	487	386	185	502	641	87
CFLAR	2862	2974	4645	2689	2985	8568	2388	1353	1023	3121	2414	1826	1628	1514	786	517	376	746	682	152
CFLAR-AS1	6	8	6	13	6	11	7	4	3	6	12	4	6	0	2	2	1	2	4	2
CASP10	140	121	192	110	115	391	226	106	106	337	276	213	178	201	132	69	46	95	79	26
CASP8	537	436	683	391	474	1298	995	558	478	1615	1279	922	1287	1171	537	284	277	555	804	152
ALS2CR12	3	13	9	2	3	8	8	2	3	7	2	2	4	3	3	0	4	0	4	0
TRAK2	721	577	1060	521	582	1517	1038	505	433	1308	863	688	560	514	153	88	199	446	561	100
STRADB	164	136	300	101	115	372	626	304	237	922	696	471	591	749	224	101	130	301	370	96
ALS2CR11	1	4	5	0	1	1	2	1	0	2	1	4	4	6	2	0	0	0	3	2
TMEM237	486	469	663	348	412	1094	688	323	259	993	710	558	378	398	109	54	136	315	297	75
MPP4	0	0	1	2	0	3	0	0	0	2	0	0	3	0	1	1	0	1	2	0
ALS2	878	702	1225	667	733	2200	1101	565	433	1471	1100	901	497	513	192	92	212	411	537	109
CDK15	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FZD7	29	24	36	19	25	62	481	245	220	593	493	391	461	477	152	81	75	137	74	23
SUMO1	4886	3769	5506	3302	3958	9510	2548	1526	927	4675	2998	2215	2127	2512	877	466	515	1301	2099	335
NOP58	1853	1679	2903	1500	1639	4201	2514	1405	980	4368	3090	2260	2624	2555	1138	472	522	1468	1785	305
SNORD70	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0
SNORD11B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SNORD11	0	4	5	2	3	5	7	5	1	5	3	1	2	2	0	0	2	2	2	0
BMPR2	1168	1162	1955	1042	1074	2998	1263	684	537	1579	1023	836	418	480	144	92	279	525	730	152
FAM117B	85	82	183	96	80	184	179	80	82	229	180	123	76	109	30	34	61	127	141	21
ICA1L	20	17	42	30	22	49	88	27	31	124	87	74	113	107	31	9	24	66	72	12
WDR12	492	351	789	385	380	1240	943	478	345	1384	1040	727	587	542	161	89	196	406	481	102
ALS2CR8	88	79	110	48	52	118	124	44	49	162	107	87	96	104	40	14	26	71	96	13
NBEAL1	235	234	480	248	190	600	260	137	81	416	230	184	75	55	22	11	70	104	139	23
CYP20A1	135	133	215	112	124	343	437	276	179	530	387	359	614	591	140	95	95	182	121	29
ABI2	311	345	545	227	292	809	1220	635	553	1692	1179	992	1055	1199	386	203	300	548	671	139
RAPH1	281	278	448	248	267	766	490	216	205	674	411	355	642	684	146	42	77	172	195	48
CD28	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTLA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICOS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARD3B	74	91	153	50	76	186	177	85	70	206	179	160	172	168	38	15	55	115	111	18
NRP2	560	434	745	438	499	1380	6035	3219	2594	7715	6664	5104	1890	1517	1259	749	940	1967	2198	543
INO80D	185	264	378	190	178	608	247	96	78	274	125	126	340	389	123	70	53	98	104	28
GCSHP3	26	35	73	31	16	66	52	36	22	70	33	36	32	56	15	3	25	25	36	4
NDUFS1	1729	1439	2294	1207	1441	4273	2589	1310	1050	3702	2662	2010	1014	993	325	262	482	995	992	234
EEF1B2	5696	4541	7232	4370	4787	15424	11147	6104	4535	16322	12826	8587	10832	9519	3321	2355	2145	5111	8589	1257
SNORD51	0	0	0	0	0	0	1	1	2	3	2	1	0	13	1	0	1	2	0	0
SNORA41	1	1	9	5	1	15	11	2	0	5	9	5	20	22	3	4	3	5	4	0
GPR1	22	13	46	21	12	40	3	0	0	1	0	0	1	0	1	0	0	0	0	0
ZDBF2	130	155	281	115	103	346	259	121	68	417	229	164	155	168	44	27	75	146	237	38
ADAM23	61	48	65	27	31	77	381	229	189	513	442	363	412	353	178	114	88	208	183	26
LOC200726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYTN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
MDH1B	12	6	18	5	16	15	65	24	20	86	61	41	83	79	13	13	9	32	28	6
FASTKD2	270	301	554	297	254	842	1219	596	348	1953	1171	858	449	630	154	82	249	493	656	123
MIR3130-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3130-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPO	2	3	0	0	0	2	1	0	1	3	0	2	18	2	1	3	0	0	0	0
KLF7	2657	2415	3734	2121	2492	7028	1611	806	639	2009	1529	1156	480	491	195	104	295	569	574	149
MIR2355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB1	681	769	1631	673	724	2189	804	389	329	1179	845	599	442	510	162	114	184	366	563	87
METTL21A	48	50	123	51	40	153	411	241	158	578	455	333	326	270	86	55	86	188	118	56
CCNYL1	307	298	600	348	307	1087	672	369	248	1110	830	584	411	437	135	87	165	374	453	74
MIR4775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FZD5	212	257	377	178	178	481	651	308	241	745	581	470	528	555	138	93	104	180	84	21
PLEKHM3	219	191	308	157	168	465	283	146	111	349	252	203	106	144	32	13	56	121	122	19
LOC100507443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGA	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf80	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDH1	2265	1973	3429	1641	1765	5133	6311	3251	2479	9853	6587	4883	4226	3993	1263	754	1044	2263	2902	603
IDH1-AS1	13	10	16	13	10	13	25	16	16	35	27	26	63	42	15	12	1	9	6	1
PIKFYVE	600	463	839	414	501	1403	807	376	352	950	671	580	328	401	117	50	230	466	608	113
PTH2R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
MAP2	980	1010	1835	785	844	2449	41	16	17	109	56	55	82	74	48	35	19	31	32	3
UNC80	19	16	23	8	15	38	0	0	0	0	1	0	0	0	1	0	0	0	0	0
RPE	400	337	659	383	334	1131	1391	786	542	2197	1439	1112	415	419	94	71	238	484	648	96
KANSL1L	45	51	66	38	46	104	144	59	55	172	97	77	163	156	48	25	23	57	90	28
ACADL	6	7	19	2	8	15	6	3	3	6	8	0	22	22	6	1	1	1	3	0
MYL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LANCL1	473	430	983	331	379	986	1425	737	409	2066	1198	913	914	1258	241	133	383	716	697	167
CPS1	420	335	604	320	329	1031	1018	527	515	1791	1333	946	1609	1456	472	239	114	219	233	53
CPS1-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB4	2	4	6	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR548F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4776-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4776-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKZF2	394	410	700	329	325	932	2	7	0	7	6	7	9	16	3	2	2	0	3	0
LOC100130451	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1
SPAG16	53	68	209	60	51	175	255	154	99	404	296	206	286	376	79	28	61	133	170	28
VWC2L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWC2L-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARD1	20	23	26	19	19	44	304	146	98	446	290	251	25	17	5	8	60	149	139	27
ABCA12	652	701	1047	590	614	1855	71	50	22	99	87	53	72	80	8	9	25	43	48	3
ATIC	1243	1019	1898	1030	1121	3526	4651	2445	1954	6468	5214	3651	3778	3049	1141	790	919	1850	2187	452
FN1	116591	89174	145310	109630	110055	319276	24369	12142	9069	33834	27518	19544	22345	27293	7043	4805	2215	4222	4158	816
LINC00607	7	3	1	5	0	4	2	1	0	3	5	4	18	13	0	3	2	1	1	0
MREG	179	119	251	157	154	459	248	148	107	386	286	216	192	229	123	73	40	83	47	16
PECR	54	52	84	43	43	153	545	283	245	717	576	475	1405	1077	406	231	81	168	131	37
TMEM169	2	1	7	2	3	8	41	21	8	57	42	26	65	81	23	11	8	19	18	3
XRCC5	4169	3959	6802	3644	3919	11744	10376	4991	4194	16413	11033	8527	5321	4887	1725	1113	1945	4234	6324	1043
PKI55	127	125	242	93	96	331	223	97	77	262	149	119	282	331	54	29	47	45	63	18
MARCH4	82	69	130	64	74	276	864	544	376	783	801	582	8	11	11	10	61	99	99	43
SMARCAL1	313	252	454	278	288	772	828	456	399	1113	926	725	613	445	198	151	186	359	362	117
RPL37A	12641	10127	17003	7718	9285	31009	16744	10505	6678	20834	18466	10932	22177	16243	6916	5646	2447	4988	5198	1471
IGFBP2	1466	1538	2076	1344	1088	3212	1685	964	801	1679	1766	1268	2863	1825	733	529	214	539	99	77
IGFBP5	2	5	1	0	0	4	21	17	10	33	33	18	36	14	5	9	1	1	0	0
TNP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIRC3	3	3	5	1	3	0	2	1	0	6	1	3	8	3	0	0	0	1	0	0
TNS1	225	220	311	182	148	399	630	318	260	641	575	448	570	577	276	165	13	36	15	2
RUFY4	0	0	0	0	0	0	3	0	0	0	0	0	3	7	25	12	0	1	0	0
CXCR2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCR2	8	12	12	6	7	29	0	0	0	0	1	2	0	1	0	0	0	0	0	0
CXCR1	1	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPC2	8491	6954	12141	7031	6787	20896	6516	3682	2616	9003	7042	4918	3129	2495	1073	755	1111	2454	3677	603
GPBAR1	0	0	2	0	0	2	3	0	0	3	1	0	9	5	1	2	0	0	2	2
AAMP	1052	911	1611	1142	946	2786	2939	1672	1178	3175	2983	2139	2401	1876	588	581	576	971	551	209
PNKD	309	288	353	339	266	858	1601	928	698	1838	1829	1368	3300	2190	1040	622	227	398	206	87
TMBIM1	14031	13161	18582	13277	12847	37461	2779	1681	1224	3052	2975	2107	2095	1638	675	472	413	817	541	178
C2orf62	0	0	0	0	0	0	9	6	5	10	11	7	57	37	12	1	4	5	0	0
SLC11A1	6	6	5	1	2	5	17	12	8	20	23	13	47	46	16	8	5	6	1	2
CTDSP1	480	433	719	520	395	1276	1846	1112	781	1988	1870	1487	2431	2043	604	584	295	531	144	87
MIR26B	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
VIL1	0	0	0	0	0	0	12	5	4	7	6	7	273	231	14	6	0	6	3	0
USP37	81	57	143	51	78	185	472	217	144	767	471	342	172	189	44	13	90	234	307	70
RQCD1	524	450	829	471	390	1288	1475	848	633	1840	1574	1191	1078	844	280	186	307	619	566	174
PLCD4	115	112	177	54	91	241	140	59	62	128	131	88	244	148	41	37	22	49	45	17
ZNF142	375	381	547	413	348	1163	718	459	338	730	723	572	376	321	117	77	119	195	107	35
BCS1L	316	249	387	264	279	765	674	438	294	705	711	522	701	517	157	144	125	203	178	61
RNF25	321	295	393	299	306	899	511	330	232	591	589	401	720	452	225	157	105	195	240	37
STK36	259	225	351	263	208	742	633	395	293	729	698	514	1015	807	265	156	120	234	157	65
TTLL4	299	209	298	244	268	802	928	534	427	1083	923	728	586	480	223	146	196	340	289	88
CYP27A1	4	5	2	6	4	22	5	1	2	2	2	1	3	4	5	1	0	1	0	1
PRKAG3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT6	0	0	0	0	0	0	1	2	1	3	3	0	98	92	35	11	0	5	0	0
WNT10A	88	129	185	106	95	231	2	0	0	0	0	2	6	2	1	0	0	2	0	0
CDK5R2	11	10	15	6	9	29	49	32	19	50	66	37	62	51	41	23	21	41	8	6
LINC00608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
CRYBA2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MIR375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100129175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC108	1	0	1	1	0	0	9	4	2	11	7	4	33	13	10	0	0	4	1	6
IHH	0	0	0	0	0	1	3	1	0	5	4	2	5	3	0	0	0	1	0	0
MIR3131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NHEJ1	98	72	137	76	84	263	399	260	173	522	449	323	268	239	96	45	110	167	189	63
SLC23A3	27	16	35	26	17	93	29	18	13	19	20	22	68	46	19	3	2	3	1	6
CNPPD1	632	565	768	568	515	1427	875	519	330	863	829	588	790	688	164	147	158	260	70	42
FAM134A	834	805	1123	702	737	1870	2213	1324	893	2095	2107	1484	1602	1379	433	331	417	720	377	208
ZFAND2B	169	141	242	162	130	407	376	200	139	422	341	296	528	398	156	142	54	110	91	34
ABCB6	315	344	503	273	255	695	1970	1079	809	1844	1771	1232	2470	1755	531	439	300	488	264	97
ATG9A	925	961	1357	939	791	2355	2420	1319	1027	2465	2370	1831	1832	1474	639	466	375	659	342	201
ANKZF1	1218	1240	1715	1151	1230	3455	915	548	445	1208	1091	828	1517	1167	547	373	140	236	150	47
GLB1L	66	71	68	53	62	174	151	117	78	185	200	157	349	290	102	59	33	64	38	17
STK16	271	251	395	219	223	727	858	497	375	965	906	669	829	734	215	182	145	329	252	71
TUBA4A	5998	4694	8114	6578	5928	19963	8485	4972	3552	8605	8611	5948	4077	2853	972	797	788	1574	2016	590
TUBA4B	3	2	3	2	2	4	9	6	6	12	18	17	37	17	6	1	3	1	0	1
DNAJB2	1688	1576	2415	1580	1412	4028	1453	860	623	1414	1310	1037	1154	881	336	303	183	328	123	75
PTPRN	0	0	0	1	0	0	8	5	3	10	15	7	30	19	8	3	2	2	0	0
MIR153-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RESP18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DNPEP	263	246	279	270	238	644	1084	680	464	1169	1173	852	918	716	326	312	205	329	219	99
DES	0	0	0	0	0	0	1	0	0	0	2	0	3	1	3	1	1	0	0	0
SPEG	262	290	404	266	178	645	151	85	66	172	160	154	290	158	156	93	25	31	6	6
GMPPA	313	307	434	352	310	889	1040	632	445	1146	1144	804	1692	1219	496	367	190	344	222	90
ASIC4	0	1	6	1	0	0	2	0	0	5	4	0	21	8	3	6	0	3	0	0
CHPF	1296	1576	2018	1531	934	2813	1018	563	421	1051	988	795	2250	1676	990	599	220	340	74	66
TMEM198	19	18	19	8	12	38	30	12	9	27	22	19	84	76	31	15	4	8	2	2
MIR3132	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OBSL1	119	132	201	135	100	264	1415	848	659	1339	1288	1046	1562	1174	510	386	270	419	171	71
INHA	8	7	9	10	4	22	21	8	6	7	19	13	93	65	22	9	2	2	0	1
STK11IP	172	211	239	205	170	495	703	416	265	772	715	527	992	781	240	219	159	228	83	47
SLC4A3	227	249	318	316	176	592	159	91	75	183	178	139	329	236	132	81	15	27	9	5
MIR4268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA4	195	152	269	82	94	257	52	34	22	84	70	43	24	33	5	1	14	24	51	2
PAX3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC140	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGPP2	59	54	86	83	103	240	15	17	12	28	25	15	84	50	25	16	5	7	8	0
FARSB	353	334	770	309	309	1143	1683	838	574	2678	1787	1291	1094	912	295	135	348	833	916	158
MOGAT1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0
ACSL3	4064	3521	6575	2997	3583	9919	5194	2768	2195	7475	5330	4176	3040	3005	801	508	1092	2371	3962	635
KCNE4	0	0	1	0	2	0	12	7	3	12	7	3	29	39	2	2	16	24	10	3
SCG2	18	14	24	8	15	31	11	9	6	19	19	10	30	25	6	2	8	15	16	4
AP1S3	839	837	1452	730	673	2117	582	331	256	902	642	480	426	370	192	94	141	294	287	41
WDFY1	1296	1299	2320	975	1043	3132	1397	712	566	1881	1353	1001	504	518	157	86	261	600	623	135
MRPL44	425	436	649	384	404	1119	880	484	382	1308	1013	729	1036	872	336	197	169	359	523	91
SERPINE2	2086	1772	3413	1614	1724	4733	4394	2471	1728	5805	4483	3619	921	1127	461	263	650	1273	2084	446
FAM124B	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUL3	752	773	1376	693	724	1960	1649	912	654	2613	1899	1412	1138	969	331	183	411	880	1408	257
DOCK10	12	16	11	12	9	28	1604	788	686	1935	1510	1028	331	280	131	90	375	667	1036	240
MIR4439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYAP2	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2
LOC646736	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MIR5702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRS1	1180	1149	2136	1040	847	2848	2060	1160	916	2370	2111	1621	971	1145	240	151	481	897	614	171
RHBDD1	275	245	429	196	207	738	322	180	138	448	356	244	313	260	150	56	89	195	181	45
COL4A4	8	10	20	5	5	28	720	404	339	793	595	485	278	318	48	32	96	163	60	23
COL4A3	3	0	15	3	2	2	409	209	185	449	362	297	361	341	75	48	58	128	72	20
MFF	522	441	782	395	402	1214	2462	1254	1025	3646	2496	1999	2614	2517	1026	420	569	1352	1443	305
TM4SF20	0	0	0	0	0	0	1280	666	518	2624	1610	1156	5625	4925	396	219	49	102	66	12
MIR5703	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AGFG1	818	860	1812	798	793	2350	3492	1900	1412	5050	3746	2818	2421	2565	804	411	688	1390	1866	441
C2orf83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC19A3	2	1	2	1	4	2	176	95	73	252	187	134	207	208	66	34	15	36	23	7
CCL20	56	78	109	612	534	1446	204	132	73	591	418	289	2854	2736	1469	938	1	3	2	1
DAW1	5	3	3	4	6	12	8	7	5	15	15	10	1	1	6	1	2	2	4	0
SPHKAP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PID1	50	30	53	49	41	199	81	40	45	134	104	72	45	30	15	20	11	21	25	13
DNER	8	13	15	15	15	30	65	39	29	64	59	34	50	63	26	12	4	9	8	3
TRIP12	3510	3110	5395	2981	3227	8793	4215	1934	1713	5626	4320	3217	1142	1283	610	349	932	1808	2090	423
FBXO36	37	38	70	45	27	90	88	46	35	117	87	71	52	65	24	8	16	42	43	7
SLC16A14	91	101	249	70	69	234	27	20	21	60	29	37	11	9	2	1	4	12	10	6
SP110	741	586	968	527	621	2018	162	97	65	539	379	305	317	237	699	376	34	108	142	20
SP140	24	27	26	12	10	59	1	1	0	4	2	1	1	1	1	1	0	1	0	0
SP140L	483	438	692	398	435	1280	77	39	31	128	115	79	196	178	273	131	17	71	66	9
SP100	1020	940	1518	1001	1066	3066	841	499	334	2260	1588	1158	1190	1122	1671	787	206	506	617	114
LOC151475	3	3	3	1	1	5	1	0	0	0	1	1	1	0	0	0	0	0	0	0
CAB39	1873	1843	2986	1667	1723	4946	1303	666	496	1839	1308	973	500	525	178	93	263	566	942	154
ITM2C	495	485	760	462	430	1286	2454	1461	1058	3001	2839	2059	2168	2058	544	514	436	817	442	137
LOC151484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GPR55	0	0	0	0	1	0	4	2	1	4	4	4	8	7	1	3	4	2	2	1
LOC348761	0	0	0	0	0	0	7	4	5	9	10	2	2	10	1	6	1	4	4	1
SPATA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf72	6	3	11	7	7	8	458	295	209	527	453	364	645	564	54	50	52	113	50	14
PSMD1	3268	2764	5162	2919	3239	9132	4855	2442	1901	7194	5228	3907	1702	1791	642	411	921	2176	1817	411
HTR2B	3	0	0	0	0	0	15	2	5	19	10	5	11	6	5	2	2	3	1	0
ARMC9	220	186	337	249	205	675	470	238	221	560	500	348	308	260	94	86	91	173	186	54
MIR4777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GNT7	138	133	196	135	124	369	57	30	26	65	45	65	43	58	12	17	10	21	10	7
NCL	15847	13186	23206	13790	15248	43102	20132	11383	9333	28404	23825	18114	15595	12221	4546	2847	4411	10844	16505	2354
SNORA75	3	1	5	4	7	4	4	1	0	3	3	4	20	13	3	2	1	0	1	0
SNORD20	0	0	1	0	0	3	2	3	3	1	1	2	3	8	4	0	0	1	2	0
SNORD82	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LINC00471	3	6	4	3	2	17	21	10	6	31	27	16	17	11	1	4	2	7	15	3
NMUR1	0	0	0	0	0	0	2	1	0	1	0	1	1	0	1	1	1	0	0	0
C2orf57	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0
PTMA	6443	5773	9203	7127	6004	17752	18278	11114	8501	26713	23312	15576	21037	18736	8315	3690	4384	10349	7096	1336
PDE6D	177	157	267	161	132	435	625	361	270	870	710	501	721	474	298	205	151	319	449	102
COPS7B	379	357	571	402	318	1025	833	479	427	937	916	687	893	607	229	161	167	359	203	78
MIR1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPPC	0	0	0	0	0	0	4	1	0	3	0	0	2	4	3	0	1	0	1	0
DIS3L2	267	231	359	240	290	751	725	391	315	853	742	531	858	674	241	135	125	221	203	48
ALPP	0	0	0	0	0	0	2	1	1	0	2	1	9	3	2	9	0	2	0	0
ECEL1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPPL2	0	0	0	0	0	0	0	0	0	0	1	0	3	2	2	1	0	0	0	0
ALPI	0	0	0	0	0	0	1	0	0	0	0	0	7	4	0	0	0	0	0	0
ECEL1	0	0	0	0	0	0	2	4	1	3	5	5	8	5	5	1	0	2	1	0
PRSS56	0	0	0	0	0	0	2	0	1	7	3	4	4	0	0	2	2	1	0	0
CHRND	0	0	0	0	0	0	4	0	0	0	3	1	7	5	0	0	1	1	0	0
CHRNG	2	1	0	0	0	0	11	4	3	7	3	5	6	7	1	1	5	3	1	0
TIGD1	34	50	57	25	26	94	182	102	71	282	194	155	219	220	50	38	69	123	154	33
MIR5001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4E2	2561	1930	3303	1737	2096	6305	1215	734	527	1561	1359	937	1623	1089	624	396	232	505	210	78
EFHD1	1	0	4	1	0	2	59	40	26	85	72	54	60	35	33	22	11	19	23	6
GIGYF2	1667	1396	2311	1252	1359	4102	2190	1143	978	2702	2179	1676	860	874	292	196	498	979	862	157
KCNJ13	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0
C2orf82	2	3	6	1	1	2	648	368	293	695	608	444	958	599	446	233	68	189	6	10
NGEF	10	11	18	8	6	8	604	373	290	695	609	510	344	231	165	127	106	179	138	45
NEU2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP5D	2213	1913	3132	1801	1672	4611	8	9	3	9	8	5	21	19	1	0	3	11	10	3
ATG16L1	581	478	619	458	498	1489	1860	1038	886	2426	1990	1538	1056	798	297	208	340	635	920	209
SCARNA5	1	1	0	0	0	1	0	0	0	1	11	2	0	0	0	1	14	2	1	4
SCARNA6	0	0	1	0	0	4	2	2	1	2	4	6	2	0	2	0	7	2	1	1
SAG	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0
DGKD	96	106	141	126	87	308	6058	3660	2952	6769	6508	5152	3639	2904	1097	816	735	1172	782	269
USP40	688	637	1052	608	570	1502	1710	963	840	2489	1960	1558	1428	1126	415	232	422	826	785	170
UGT1A8	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0
UGT1A10	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UGT1A9	0	0	0	0	0	0	126	60	60	193	139	105	49	29	19	9	10	31	20	3
UGT1A7	0	0	0	0	0	0	38	17	14	77	49	45	61	70	25	20	0	3	3	0
UGT1A6	111	103	140	66	81	297	19	9	2	25	21	15	9	9	2	2	0	9	5	0
UGT1A5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
UGT1A4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UGT1A3	0	0	0	0	0	1	2	0	0	3	0	1	0	0	0	0	0	0	0	1
DNAJB3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0
LOC100286922	0	0	0	0	0	2	8	2	2	18	13	8	10	8	3	4	1	4	1	2
UGT1A1	2	2	1	0	4	10	10	3	3	13	8	6	0	0	2	0	1	2	0	0
HJURP	163	136	242	123	105	372	5814	3326	2498	7654	6513	4841	2777	1822	640	366	1009	2053	1961	428
MSL3P1	96	74	130	69	71	224	591	318	216	1036	705	515	465	471	161	95	163	327	462	90
TRPM8	0	0	0	0	1	0	9	2	2	13	12	6	8	12	2	4	1	6	10	0
